Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Datetime,,,,,
2025-10-22 13:30:00+00:00,253.9550018310547,254.94000244140625,253.11000061035156,254.22500610351562,2338438
2025-10-22 13:35:00+00:00,254.92999267578125,255.0,253.30999755859375,253.9600067138672,732222
2025-10-22 13:40:00+00:00,255.1313018798828,256.0299987792969,254.8800048828125,254.89999389648438,871620
2025-10-22 13:45:00+00:00,255.25999450683594,255.3800048828125,254.77000427246094,255.1199951171875,483785
2025-10-22 13:50:00+00:00,255.48500061035156,256.1600036621094,255.24000549316406,255.24940490722656,611716
2025-10-22 13:55:00+00:00,254.2899932861328,255.5,254.07000732421875,255.4824981689453,426051
2025-10-22 14:00:00+00:00,254.30999755859375,254.91000366210938,254.02999877929688,254.2899932861328,360615
2025-10-22 14:05:00+00:00,254.1699981689453,254.67999267578125,254.0800018310547,254.25999450683594,306909
2025-10-22 14:10:00+00:00,253.72000122070312,254.1999969482422,253.47999572753906,254.1699981689453,377056
2025-10-22 14:15:00+00:00,254.3800048828125,254.50999450683594,253.5,253.7100067138672,314180
2025-10-22 14:20:00+00:00,253.47000122070312,254.47000122070312,253.25,254.35000610351562,387306
2025-10-22 14:25:00+00:00,252.8699951171875,253.92039489746094,252.63999938964844,253.48500061035156,350212
2025-10-22 14:30:00+00:00,252.7899932861328,253.07000732421875,252.39999389648438,252.89999389648438,464152
2025-10-22 14:35:00+00:00,252.27999877929688,253.0540008544922,252.14999389648438,252.75,302043
2025-10-22 14:40:00+00:00,252.19000244140625,252.5399932861328,252.0814971923828,252.3000030517578,350518
2025-10-22 14:45:00+00:00,252.57000732421875,252.6199951171875,251.85870361328125,252.17999267578125,467105
2025-10-22 14:50:00+00:00,253.14010620117188,253.16360473632812,252.4499969482422,252.57000732421875,410189
2025-10-22 14:55:00+00:00,253.8323974609375,253.89999389648438,252.6999969482422,253.19000244140625,621871
2025-10-22 15:00:00+00:00,255.7321014404297,256.34930419921875,253.82000732421875,253.82000732421875,2117329
2025-10-22 15:05:00+00:00,255.72000122070312,256.16949462890625,255.1199951171875,255.72500610351562,811543
2025-10-22 15:10:00+00:00,255.44000244140625,255.99000549316406,254.7100067138672,255.66000366210938,673553
2025-10-22 15:15:00+00:00,255.0399932861328,255.60000610351562,254.8300018310547,255.43850708007812,433378
2025-10-22 15:20:00+00:00,253.22999572753906,255.1300048828125,253.0500030517578,255.0500030517578,524827
2025-10-22 15:25:00+00:00,252.57000732421875,253.49000549316406,252.3300018310547,253.18499755859375,442834
2025-10-22 15:30:00+00:00,252.7550048828125,253.19000244140625,252.0260009765625,252.6300048828125,475463
