Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-01-15 00:00:00+00:00,96934.609375,96934.609375,96934.609375,96934.609375,0
2026-01-15 00:02:00+00:00,96885.6015625,96885.6015625,96885.6015625,96885.6015625,0
2026-01-15 00:03:00+00:00,96812.1640625,96812.1640625,96812.1640625,96812.1640625,0
2026-01-15 00:04:00+00:00,96792.203125,96792.203125,96792.203125,96792.203125,0
2026-01-15 00:05:00+00:00,96834.3828125,96834.3828125,96834.3828125,96834.3828125,241917952
2026-01-15 00:06:00+00:00,96781.9609375,96781.9609375,96781.9609375,96781.9609375,0
2026-01-15 00:07:00+00:00,96846.203125,96846.203125,96846.203125,96846.203125,0
2026-01-15 00:08:00+00:00,96886.5703125,96886.5703125,96886.5703125,96886.5703125,15740928
2026-01-15 00:09:00+00:00,96855.828125,96855.828125,96855.828125,96855.828125,0
2026-01-15 00:10:00+00:00,96822.3828125,96822.3828125,96822.3828125,96822.3828125,107192320
2026-01-15 00:11:00+00:00,96848.1015625,96848.1015625,96848.1015625,96848.1015625,0
2026-01-15 00:12:00+00:00,96814.9609375,96814.9609375,96814.9609375,96814.9609375,0
2026-01-15 00:13:00+00:00,96836.1875,96836.1875,96836.1875,96836.1875,306196480
2026-01-15 00:14:00+00:00,96937.8125,96937.8125,96937.8125,96937.8125,2949120
2026-01-15 00:15:00+00:00,96933.40625,96933.40625,96933.40625,96933.40625,0
2026-01-15 00:16:00+00:00,96973.4609375,96973.4609375,96973.4609375,96973.4609375,0
2026-01-15 00:17:00+00:00,96935.921875,96935.921875,96935.921875,96935.921875,242184192
2026-01-15 00:18:00+00:00,96949.5078125,96949.5078125,96949.5078125,96949.5078125,0
2026-01-15 00:19:00+00:00,96903.6640625,96903.6640625,96903.6640625,96903.6640625,0
2026-01-15 00:20:00+00:00,96808.1796875,96808.1796875,96808.1796875,96808.1796875,0
2026-01-15 00:21:00+00:00,96830.28125,96830.28125,96830.28125,96830.28125,218710016
2026-01-15 00:22:00+00:00,96815.828125,96815.828125,96815.828125,96815.828125,72744960
2026-01-15 00:23:00+00:00,96733.4921875,96733.4921875,96733.4921875,96733.4921875,0
2026-01-15 00:24:00+00:00,96761.0546875,96761.0546875,96761.0546875,96761.0546875,252051456
2026-01-15 00:25:00+00:00,96775.234375,96775.234375,96775.234375,96775.234375,31354880
2026-01-15 00:26:00+00:00,96754.40625,96754.40625,96754.40625,96754.40625,0
