step,epoch,batch,loss
254,2,111,0.00061
255,2,112,0.00061
256,2,113,0.00061
257,2,114,0.00060
258,2,115,0.00060
259,2,116,0.00061
260,2,117,0.00060
261,2,118,0.00060
262,2,119,0.00060
263,2,120,0.00060
264,2,121,0.00060
265,2,122,0.00060
266,2,123,0.00060
267,2,124,0.00060
268,2,125,0.00059
269,2,126,0.00059
270,2,127,0.00059
271,2,128,0.00059
272,2,129,0.00059
273,2,130,0.00059
274,2,131,0.00059
275,2,132,0.00059
276,2,133,0.00059
277,2,134,0.00059
278,2,135,0.00058
279,2,136,0.00059
280,2,137,0.00058
281,2,138,0.00058
282,2,139,0.00058
283,2,140,0.00058
284,2,141,0.00058
285,2,142,0.00058
286,2,143,0.00058
287,3,1,0.00053
288,3,2,0.00037
289,3,3,0.00032
290,3,4,0.00031
291,3,5,0.00032
292,3,6,0.00029
293,3,7,0.00028
294,3,8,0.00032
295,3,9,0.00031
296,3,10,0.00040
297,3,11,0.00038
298,3,12,0.00036
299,3,13,0.00041
300,3,14,0.00041
301,3,15,0.00040
302,3,16,0.00040
303,3,17,0.00041
304,3,18,0.00040
305,3,19,0.00044
306,3,20,0.00045
307,3,21,0.00045
308,3,22,0.00045
309,3,23,0.00047
310,3,24,0.00046
311,3,25,0.00046
312,3,26,0.00050
313,3,27,0.00049
314,3,28,0.00049
315,3,29,0.00049
316,3,30,0.00050
317,3,31,0.00050
318,3,32,0.00050
319,3,33,0.00050
320,3,34,0.00049
321,3,35,0.00049
322,3,36,0.00049
323,3,37,0.00048
324,3,38,0.00048
325,3,39,0.00047
326,3,40,0.00047
327,3,41,0.00048
328,3,42,0.00047
329,3,43,0.00048
330,3,44,0.00047
331,3,45,0.00048
332,3,46,0.00048
333,3,47,0.00048
334,3,48,0.00048
335,3,49,0.00047
336,3,50,0.00047
337,3,51,0.00047
338,3,52,0.00049
339,3,53,0.00048
340,3,54,0.00048
341,3,55,0.00047
