epoch,loss
1,0.00876
2,0.00039
3,0.00038
4,0.00035
5,0.00033
6,0.00032
7,0.00031
8,0.00033
9,0.00028
10,0.00027
11,0.00027
12,0.00026
13,0.00025
14,0.00027
15,0.00022
16,0.00021
17,0.00021
18,0.00020
19,0.00021
20,0.00021
21,0.00018
22,0.00018
23,0.00016
24,0.00016
25,0.00015
26,0.00017
27,0.00015
28,0.00013
29,0.00014
30,0.00013
31,0.00014
32,0.00012
33,0.00011
34,0.00012
35,0.00012
36,0.00014
37,0.00010
38,0.00014
39,0.00010
40,0.00010
41,0.00011
42,0.00009
43,0.00010
44,0.00010
45,0.00009
46,0.00009
47,0.00010
48,0.00010
49,0.00010
50,0.00010
51,0.00009
52,0.00010
53,0.00009
54,0.00009
55,0.00009
56,0.00010
57,0.00008
58,0.00011
59,0.00008
60,0.00009
61,0.00009
62,0.00008
63,0.00009
64,0.00009
65,0.00009
66,0.00009
67,0.00008
68,0.00009
69,0.00008
70,0.00009
71,0.00009
72,0.00011
73,0.00009
74,0.00008
75,0.00011
76,0.00008
77,0.00009
78,0.00009
79,0.00009
80,0.00008
81,0.00009
82,0.00009
83,0.00008
84,0.00009
85,0.00008
86,0.00009
87,0.00008
88,0.00009
89,0.00009
90,0.00010
91,0.00008
92,0.00009
93,0.00008
94,0.00008
95,0.00009
96,0.00008
97,0.00008
98,0.00009
99,0.00009
100,0.00008
